Grupo,pre/post,tipo,Imagen,emocion,resultado,resultados,%
Grupo emoción,Post,mem,29,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,29,Enojo,Omisión,7,0.4666666666666667
Grupo emoción,Post,mem,30,Alegría,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,30,Alegría,Omisión,4,0.26666666666666666
Grupo identidad,Pre,emp,1,Tristeza,Acierto,12,0.8571428571428571
Grupo identidad,Pre,emp,1,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,2,Alegría,Acierto,14,1
Grupo identidad,Pre,emp,3,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,3,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,3,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,4,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,4,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,4,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,5,Enojo,Acierto,10,0.7142857142857143
Grupo identidad,Pre,emp,5,Enojo,Comisión,3,0.21428571428571427
Grupo identidad,Pre,emp,5,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,6,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,6,Enojo,Comisión,12,0.8571428571428571
Grupo identidad,Pre,emp,6,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,7,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,7,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,7,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,8,Enojo,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,8,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,9,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,9,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Pre,emp,9,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,10,Alegría,Acierto,12,0.8571428571428571
Grupo identidad,Pre,emp,10,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Pre,emp,10,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,11,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,11,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Pre,emp,11,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,12,Alegría,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,12,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,12,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,13,Enojo,Acierto,7,0.5
Grupo identidad,Pre,emp,13,Enojo,Comisión,5,0.35714285714285715
Grupo identidad,Pre,emp,13,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,14,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Pre,emp,14,Tristeza,Comisión,5,0.35714285714285715
Grupo identidad,Pre,emp,14,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,15,Enojo,Acierto,7,0.5
Grupo identidad,Pre,emp,15,Enojo,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,15,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,16,Alegría,Acierto,9,0.6428571428571429
