,Variables,Corr,P_val
355,SSIS.HI.1-EO.emp.A.1,0,0.559888321
356,SSIS.HI.1-EC.emp.A.1,-0.176450719,0.396792606
357,SSIS.HI.1-RC.emp.T.1,-0.190291884,0.622638489
358,SSIS.HI.1-TR.emp.T.1,-0.074847533,0.645736897
359,SSIS.HI.1-EO.emp.T.1,0.372583177,0.122885792
360,SSIS.HI.1-EC.emp.T.1,-0.077139432,0.128901672
361,SSIS.HI.1-RC.emp.E.1,0.234578716,0.840500497
362,SSIS.HI.1-TR.emp.E.1,-0.393420138,0.632711906
363,SSIS.HI.1-EO.emp.E.1,-0.088113422,0.215729863
364,SSIS.HI.1-EC.emp.E.1,-0.171436089,0.474085923
365,SSIS.HI.1-RC.mem.A.1,0.119080819,0.337964333
366,SSIS.HI.1-TR.mem.A.1,0.192585976,0.955650398
367,SSIS.HI.1-EO.mem.A.1,-0.368067986,0.713910487
368,SSIS.HI.1-EC.mem.A.1,0.273267863,0.527210934
369,SSIS.HI.1-RC.mem.T.1,-0.416510181,0.326939949
370,SSIS.HI.1-TR.mem.T.1,0.163769682,0.72096168
371,SSIS.HI.1-EO.mem.T.1,0.295486468,0.414957333
372,SSIS.HI.1-EC.mem.T.1,0.036669994,0.971795677
373,SSIS.HI.1-RC.mem.E.1,-0.324615567,0.767693283
374,SSIS.HI.1-TR.mem.E.1,0.020666689,0.432631633
375,SSIS.HI.1-EO.mem.E.1,0.446171897,0.939395443
376,SSIS.HI.1-EC.mem.E.1,-0.111455643,0.647559479
377,SSIS.HI.1-RC.emp.ID.1,-0.531337539,0.436836445
378,SSIS.HI.1-TR.emp.ID.1,-0.1584592,0.730710664
379,SSIS.HI.1-EO.emp.ID.1,0.015979467,0.897770937
380,SSIS.HI.1-EC.emp.ID.1,0.533537091,0.426658958
381,SSIS.HI.1-RC.mem.ID.1,0.064050315,0.70527077
382,SSIS.HI.1-TR.mem.ID.1,-0.134297009,0.817466266
383,SSIS.HI.1-EO.mem.ID.1,-0.096279565,0.506786433
384,SSIS.HI.1-EC.mem.ID.1,-0.294817497,0.548547892
385,SSIS.Int.1-RC.emp.A.1,0.135590768,0.240643276
386,SSIS.Int.1-TR.emp.A.1,-0.052653478,0.907802216
387,SSIS.Int.1-EO.emp.A.1,0.119090736,0.559888321
388,SSIS.Int.1-EC.emp.A.1,-0.39684575,0.396792606
389,SSIS.Int.1-RC.emp.T.1,-0.054545854,0.622638489
390,SSIS.Int.1-TR.emp.T.1,0.060607451,0.645736897
391,SSIS.Int.1-EO.emp.T.1,0.085805799,0.122885792
392,SSIS.Int.1-EC.emp.T.1,-0.007913584,0.128901672
393,SSIS.Int.1-RC.emp.E.1,0.2673886,0.840500497
394,SSIS.Int.1-TR.emp.E.1,0.052884754,0.632711906
395,SSIS.Int.1-EO.emp.E.1,0.135590768,0.215729863
396,SSIS.Int.1-EC.emp.E.1,-0.299783435,0.474085923
397,SSIS.Int.1-RC.mem.A.1,0.37481736,0.337964333
